DATAFLOW,LAST UPDATE,freq,indic_em,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2009,10.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2010,10.5,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2011,10.3,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2012,10.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2013,9.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2014,9.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2015,8.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2016,8.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2017,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2018,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2019,7.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2020,7.4,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2021,7.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2022,7.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2023,7.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DE,2024,7.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2009,6.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2010,5.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2011,6.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2012,6.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2013,6.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2014,7.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2015,7.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2016,6.9,b,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,DK,2017,6.7,b,
